date,close,volume,open,high,low
43117.00,179.1,34260230,176.15,179.25,175.07
43116.00,176.19,29512410,177.9,179.39,176.14
43112.00,177.09,25302200,176.18,177.36,175.65
43111.00,175.28,18653380,174.59,175.4886,174.49
43110.00,174.29,23751690,173.16,174.3,173
43109.00,174.33,21532200,174.55,175.06,173.41
43108.00,174.35,20523870,174.35,175.61,173.93
43105.00,175,23589930,173.44,175.37,173.05
43104.00,173.03,22342650,172.54,173.47,172.08
43103.00,172.23,29461040,172.53,174.55,171.96
43102.00,172.26,25400540,170.16,172.3,169.26
43098.00,169.23,25938760,170.52,170.59,169.22
43097.00,171.08,16412270,171,171.85,170.48
43096.00,170.6,21477380,170.1,170.78,169.71
43095.00,170.57,33113340,170.8,171.47,169.679
43091.00,175.01,16339690,174.68,175.424,174.5
43090.00,175.01,20848660,174.17,176.02,174.1
43089.00,174.35,23451420,174.87,175.42,173.25
43088.00,174.54,27393660,175.03,175.39,174.09
43087.00,176.42,29385650,174.88,177.2,174.86
43084.00,173.97,40122100,173.63,174.17,172.46
43083.00,172.22,20442740,172.4,173.13,171.65
43082.00,172.27,23402510,172.5,173.54,172
43081.00,171.7,19088170,172.15,172.39,171.461
43080.00,172.67,34260890,169.2,172.89,168.79
43077.00,169.37,23285760,170.49,171,168.82
43076.00,169.32,25656110,169.03,170.44,168.91
43075.00,169.01,28397810,167.5,170.2047,166.46
43074.00,169.64,27315530,169.06,171.52,168.4
43073.00,169.8,32512580,172.48,172.62,169.63
43070.00,171.05,39735110,169.95,171.67,168.5
43069.00,171.85,41484540,170.43,172.14,168.44
43068.00,169.48,41459120,172.63,172.92,167.16
43067.00,173.07,26387240,174.3,174.87,171.86
43066.00,174.09,20591090,175.05,175.08,173.34
43063.00,174.97,14026670,175.1,175.5,174.6459
43061.00,174.96,25558680,173.36,175,173.05
43060.00,173.14,25047130,170.78,173.7,170.78
43059.00,169.98,16041550,170.29,170.56,169.56
43056.00,170.15,21884010,171.04,171.39,169.64
43055.00,171.1,23598650,171.18,171.87,170.3
43054.00,169.08,28998220,169.97,170.3197,168.38
43053.00,171.34,24683350,173.04,173.48,171.18
43052.00,173.97,16956290,173.5,174.5,173.4
43049.00,174.67,25129510,175.11,175.38,174.27
43048.00,175.88,29422610,175.11,176.095,173.14
43047.00,176.24,24358920,174.66,176.24,174.33
43046.00,174.81,24332120,173.91,175.25,173.6
43045.00,174.25,34770480,172.365,174.99,171.72
43042.00,172.5,59332210,174,174.26,171.12
43041.00,168.11,39668100,167.64,168.5,165.28
43040.00,166.89,33482970,169.87,169.94,165.61
43039.00,169.04,35779520,167.9,169.6499,166.94
43038.00,166.72,44651420,163.89,168.07,163.72
43035.00,163.05,44387770,159.29,163.6,158.7
43034.00,157.41,16916650,157.23,157.8295,156.78
43033.00,156.41,21175670,156.91,157.55,155.27
43032.00,157.1,17633730,156.29,157.42,156.2
43031.00,156.17,21888930,156.89,157.69,155.5
43028.00,156.25,23907540,156.61,157.75,155.96
43027.00,155.98,42357420,156.75,157.08,155.02
43026.00,159.76,16252850,160.42,160.71,159.6
43025.00,160.47,18969700,159.78,160.87,159.23
